Actions,WIID,Description,Type,Status,Date
,624312,Research Client Check Copy,WI2,Open,2019-11-11
,631162,Research Client Check Copy,WI2,Open,2018-04-04
,360091,Verify Account Position,WI1,Open,2018-07-13
,136621,Verify Account Position,WI1,Open,2019-02-21
,618764,Generate Yearly Report for Vendor,WI4,Open,2018-04-02
,289693,Process Vendor Invoice,WI3,Open,2019-05-25
,228545,Calculate Client Security Hash,WI5,Open,2017-10-24
,294092,Research Client Check Copy,WI2,Open,2018-02-11
,291245,Calculate Client Security Hash,WI5,Open,2017-07-10
,578112,Research Client Check Copy,WI2,Open,2019-12-25
